district,total,enrollment,perhomeless,doubled,hotel,sheltered,unsheltered
Alpine Union,3,1745,0.17,0,0,1,0
Bonsall Unified,439,2859,15.36,282,0,92,15
Borrego Springs Unified,9,891,1.01,0,0,0,0
Cajon Valley,264,16924,1.56,108,89,56,11
Cardiff,0,704,0,0,0,0,0
Carlsbad Unified,172,11169,1.54,88,42,30,12
Chula Vista Elementary,256,30053,0.85,106,53,50,15
Coronado Unified,6,3064,0.2,4,0,0,0
Dehesa,3,6322,0.05,1,2,0,0
Del Mar Union,3,4413,0.07,1,1,0,0
Encinitas Union,31,5313,0.58,14,7,10,0
Escondido Union Ele.,1256,18965,6.62,1155,46,32,13
Escondido Union High,151,9578,1.58,118,8,14,12
Fallbrook Union Ele.,16,5006,0.32,7,0,8,1
Fallbrook Union High,357,2264,15.77,293,0,63,1
Grossmont Union High,228,21709,1.05,139,60,15,14
Jamul-Dulzura Union,1,843,0.12,1,0,0,0
Julian Union Elementary,94,4367,2.15,61,0,33,0
Julian Union High,23,150,15.33,12,0,11,0
La Mesa-Spring Valley,623,12289,5.07,518,62,17,14
Lakeside Union,59,6313,0.93,29,13,12,5
Lemon Grove,65,3797,1.71,43,16,2,4
Mt. Empire Unified,16,2784,0.57,5,0,0,0
National,871,5928,14.69,842,11,13,5
Oceanside Unified,221,20629,1.07,80,51,65,25
Poway Unified,398,35956,1.11,330,39,19,10
Ramona Unified,168,5546,3.03,160,1,6,1
Rancho Santa Fe,0,641,0,0,0,0,0
San Diego Unified,7823,128040,6.11,6465,344,830,184
San Dieguito Union High,28,12951,0.22,9,9,10,0
San Marcos Unified,172,20970,0.82,170,0,0,0
San Pasqual,21,553,3.8,1,0,0,0
San Ysidro,1734,4815,36.01,1507,96,28,103
Santee,397,6761,5.87,314,1,20,6
SDCOE / JCCS,742,3137,23.65,95,11,622,14
Solana Beach,2,3012,0.07,2,0,0,0
South Bay Union,1611,7377,21.84,1506,31,23,18
Spencer Valley,1,2276,0.04,1,0,0,0
Sweetwater Union High,738,40671,1.81,499,68,49,120
Vallecitos,0,341,0,0,0,0,0
Valley Center-Pauma,166,4069,4.08,158,0,0,8
Vista Unified,2522,25149,10.03,2370,32,89,31
Warner,19,1733,1.1,0,0,1,0
Albert Einstein Academy Elementary,5,797,0.63,0,0,0,0
Albert Einstein Academy Middle,0,612,0,0,0,0,0
All Tribes Charter School,0,51,0,0,0,0,0
America's Finest Charter School,23,390,5.9,21,0,0,2
Arroyo Paseo Charter High,11,105,10.48,8,0,2,1
Audeo Charter,42,427,9.84,32,8,1,1
Audeo Charter II,39,287,13.59,31,4,4,0
Barona Indian Charter,0,97,0,0,0,0,0
Bella Mente,15,672,2.23,1,0,0,0
California Pacific Charter -SD,19,1476,1.29,12,6,1,0
California Virtual Academy @ San Diego,35,2067,1.69,15,11,3,6
Charter School of San Diego,220,1918,11.47,195,4,8,13
City Heights Preparatory Charter,13,178,7.3,5,0,2,0
Classical Academy,7,1288,0.54,1,0,0,0
Classical Academy High School,3,1247,0.24,1,0,0,0
Coastal Academy Charter,6,1699,0.35,0,0,1,0
Community Montessor,0,601,0,0,0,0,0
Compass Charter Schools,27,320,8.44,14,8,4,1
County Collaborative Charter,1,37,2.7,0,0,1,0
Darnall Charter,58,638,9.09,57,0,1,0
Diego Hills Charter School,221,11522,1.92,168,15,22,16
Diego Springs Academy,149,407,36.61,112,5,26,6
Diego Valley Public Charter,135,755,17.88,84,11,32,8
e3 Civic High,26,458,5.68,14,1,10,1
EJE Academies Charter School,0,537,0,0,0,0,0
Empower Charter,1,113,0.88,0,0,1,0
Epiphany Prep Charter,8,316,2.53,8,0,0,0
Escondido Charter High,1,802,0.12,0,1,0,0
Evangeline Roberts Institute of Learning,10,130,7.69,5,0,3,2
Feaster (Mae L.) Charter,21,1235,1.7,7,7,7,0
Gompers Preparatory Academy,4,1237,0.32,0,0,4,0
Greater San Diego Academy,0,242,0,0,0,0,0
Guajome Learning Center,9,79,11.39,9,0,0,0
Guajome Park Academy,81,1385,5.85,68,0,10,3
Harbor Springs Charter,47,752,6.25,43,4,0,0
Harriet Tubman Village ,15,351,4.27,14,1,0,0
Hawking S.T.E.A.M. Charter School 2,3,393,0.76,3,0,0,0
Health Sciences High,2,594,0.34,0,2,0,0
"Heights, The",0,231,0,0,0,0,0
Helix High,132,2511,5.26,118,2,5,7
High Tech Elementary Chula Vista,2,406,0.49,2,0,0,0
High Tech Elementary North County,3,365,0.82,3,0,0,0
High Tech High,3,578,0.52,3,0,0,0
High Tech High Chula Vista,4,623,0.64,4,0,0,0
